filter,anomaly_probability,window_size,threshold,trials,samples_per_trial,tpr,fpr,true_positive,false_positive,true_negative,false_negative,contaminated_mean_error,filtered_mean_error,mean_error_reduction_percent,contaminated_fft_error_hz,filtered_fft_error_hz,contaminated_wrong_dominant_windows,filtered_wrong_dominant_windows,contaminated_adaptive_rate_hz,filtered_adaptive_rate_hz,avg_execution_us,estimated_filter_energy_uwh,filter_delay_s,state_memory_bytes
hampel,0.01,5,2.0,100,200,0.35148514851485146,0.0008081624406505708,71,16,19782,131,0.049973494201898574,0.042780189209224696,14.394240602052182,0.0,0.0,0,0,40.0,40.0,1460.4539994616061,0.22421114141696163,0.05,20
hampel,0.01,11,2.0,100,200,0.6188118811881188,0.004192342660874836,125,83,19715,77,0.049973494201898574,0.04726442501702848,5.421012134803195,0.0,0.0,0,0,40.0,40.0,2133.617002982646,0.32755615977068103,0.125,44
hampel,0.01,21,2.0,100,200,0.5693069306930693,0.00010102030508132135,115,2,19796,87,0.049973494201898574,0.03319680577762235,33.571173463469464,0.0,0.0,0,0,40.0,40.0,3533.3630011882633,0.542447315580588,0.25,84
hampel,0.01,41,2.0,100,200,0.6039603960396039,0.0,122,0,19798,80,0.049973494201898574,0.030433958427854242,39.09979897563775,0.0,0.0,0,0,40.0,40.0,5916.54599760659,0.9083172300246102,0.5,164
hampel,0.05,5,2.0,100,200,0.403921568627451,0.0014752370916754477,412,28,18952,608,0.11752199612915516,0.0943378371942374,19.727506082724013,0.0,0.0,0,0,40.0,40.0,1494.1869967151433,0.22938988297295657,0.05,20
hampel,0.05,11,2.0,100,200,0.6068627450980392,0.010642781875658588,619,202,18778,401,0.11752199612915516,0.11669173614555317,0.7064719890305015,0.0,0.0,0,0,40.0,40.0,2136.192007455975,0.32795147841291944,0.125,44
hampel,0.05,21,2.0,100,200,0.6098039215686275,0.0006849315068493151,622,13,18967,398,0.11752199612915516,0.0822700859084986,29.99601043358314,0.0,0.0,0,0,40.0,40.0,3449.705997481942,0.5296041638651405,0.25,84
hampel,0.05,41,2.0,100,200,0.6225490196078431,0.00010537407797681771,635,2,18978,385,0.11752199612915516,0.08133722667294424,30.789784591851493,0.0,0.0,0,0,40.0,40.0,6452.229000860825,0.9905561075528138,0.5,164
hampel,0.1,5,2.0,100,200,0.39504950495049507,0.0026140155728587317,798,47,17933,1222,0.19195363976836205,0.16452454313260892,14.2894381522814,0.0,0.0,0,0,40.0,40.0,1531.7320020403713,0.2351538498637854,0.05,20
hampel,0.1,11,2.0,100,200,0.5702970297029702,0.01696329254727475,1152,305,17675,868,0.19195363976836205,0.17385743203715784,9.427384525264335,0.0,0.0,0,0,40.0,40.0,2098.64400443621,0.32218705131142045,0.125,44
hampel,0.1,21,2.0,100,200,0.5935643564356435,0.0007230255839822024,1199,13,17967,821,0.19195363976836205,0.12402676961674827,35.387122762341875,0.0,0.0,0,0,40.0,40.0,3483.0190136563033,0.5347184292807229,0.25,84
hampel,0.1,41,2.0,100,200,0.6059405940594059,0.0,1224,0,17980,796,0.19195363976836205,0.12904223475177412,32.77427043972991,0.0,0.0,0,0,40.0,40.0,5659.238998778164,0.8688150643123304,0.5,164
